"Reference","Qty","Value","PARTNO","DK"
"C6,C20,C21","3","311-3342-1-ND","KGM05AR71C104KH","478-KGM05AR71C104KHCT-ND"
"C14,C19","2","220uF","865080345012","732-8422-1-ND"
"C90,C98,C102,C103","4","1uF","EMK105BJ105MV-F","587-5514-1-ND"
"C96,C97","2","30pF","GRM1555C1H300JA01D","490-5935-1-ND"
"C99,C100,C101,C104,C105,C106,C107,C108,C109,C110","10","0.1uF","KGM05AR71C104KH","478-KGM05AR71C104KHCT-ND"
"J1","1","XT30","XT30PW-M","~"
"J3,J4","2","Conn_01x04","0470531000","WM4330-ND"
"J6","1","USB_C_Receptacle_USB2.0","USB4105-GF-A","2073-USB4105-GF-ACT-ND"
"R1,R6,R9,R50","4","10k","RC0402JR-0710KL","311-10KJRCT-ND"
"R10,R13","2","5.6k","RC0402FR-135K6L","13-RC0402FR-135K6LCT-ND"
"R19,R20","2","4.7k","RC0402FR-074K7L","311-4.7KLRCT-ND"
"R34","1","49.9k","RC0402FR-0749K9L","311-49.9KLRCT-ND"
"R51,R52","2","5.1k","RMCF0402JT5K10","RMCF0402JT5K10CT-ND"
"R53,R54","2","33","RC0402FR-0733RL","311-33.0LRCT-ND"
"R55","1","1k","RC0402FR-071KL","311-1.00KLRCT-ND"
"SW1,SW2","2","GT-TC029B-H025-L1N","CS1213AGF260","2449-CS1213AGF260CT-ND"
"U5","1","EMC2302","EMC2302-2-AIZL-TR","EMC2302-2-AIZL-CT-ND"
"U8","1","W25Q16JVUXIQ TR","W25Q16JVUXIQ TR","256-W25Q16JVUXIQTRCT-ND"
"U9","1","SK6812","",""
"U10","1","TLV1117LV33DCYR","TLV1117LV33DCYR","296-28778-1-ND"
"U27","1","RP2040","SC0914(13)","2648-SC0914(13)CT-ND"
"Y1","1","12MHz","ECS-120-20-33-CKM-TR3","50-ECS-120-20-33-CKM-TR3CT-ND"
